,state,county,candidate,party,total_votes,won,fips,state_code,male,female,median_age,population,female_percentage,lat,long,color
9104,Nebraska,Sheridan County,Donald Trump,REP,2292,True,31161,NE,2566,2668,45.9,5234,50.974398165838736,42.50475031369803,-102.40891935271013,red
9108,Nebraska,Sherman County,Donald Trump,REP,1322,True,31163,NE,1527,1515,49.9,3042,49.80276134122289,41.22058938172891,-98.97620431845895,red
9112,Nebraska,Sioux County,Donald Trump,REP,642,True,31165,NE,643,623,47.0,1266,49.210110584518176,42.487654662371284,-103.7588781559187,red
9116,Nebraska,Stanton County,Donald Trump,REP,2561,True,31167,NE,3002,2990,41.2,5992,49.89986648865153,41.91693530992208,-97.19391196363752,red
9120,Nebraska,Thayer County,Donald Trump,REP,2308,True,31169,NE,2545,2553,47.0,5098,50.07846214201648,40.17623966489828,-97.59495023036541,red
9124,Nebraska,Thomas County,Donald Trump,REP,377,True,31171,NE,321,324,41.1,645,50.232558139534895,41.91358526858816,-100.55579398379257,red
9127,Nebraska,Thurston County,Donald Trump,REP,1180,True,31173,NE,3545,3595,27.8,7140,50.350140056022404,42.158198287770695,-96.54402726866543,red
9131,Nebraska,Valley County,Donald Trump,REP,1901,True,31175,NE,2073,2151,45.5,4224,50.92329545454546,41.5673207608448,-98.98187889830619,red
9135,Nebraska,Washington County,Donald Trump,REP,8583,True,31177,NE,9911,10308,41.4,20219,50.981749839260104,41.53106394858523,-96.22200507171702,red
9139,Nebraska,Wayne County,Donald Trump,REP,3055,True,31179,NE,4716,4651,31.8,9367,49.65303725846055,42.20928623535172,-97.11926278579399,red
9143,Nebraska,Webster County,Donald Trump,REP,1511,True,31181,NE,1769,1802,45.2,3571,50.46205544665361,40.176440847188985,-98.49996270651887,red
9146,Nebraska,Wheeler County,Donald Trump,REP,438,True,31183,NE,435,387,49.8,822,47.08029197080292,41.91476706786512,-98.52818128079187,red
9150,Nebraska,York County,Donald Trump,REP,5337,True,31185,NE,6693,7106,40.2,13799,51.49648525255454,40.872742079339226,-97.59711776254863,red
9154,Nevada,Churchill County,Donald Trump,REP,9372,True,32001,NV,12138,11872,39.5,24010,49.44606413994168,39.580892673826604,-118.33581765165621,red
9159,Nevada,Clark County,Joe Biden,DEM,521852,True,32003,NV,1069779,1071795,37.1,2141574,50.047068184428824,36.21523781771883,-115.01353696805764,blue
9164,Nevada,Douglas County,Donald Trump,REP,21630,True,32005,NV,24102,23726,51.5,47828,49.60692481391654,38.91219010608723,-119.61638942462945,red
9169,Nevada,Elko County,Donald Trump,REP,16741,True,32007,NV,27199,25053,33.9,52252,47.94649008650387,41.14581553726847,-115.35776453771656,red
9174,Nevada,Esmeralda County,Donald Trump,REP,400,True,32009,NV,406,575,48.3,981,58.613659531090725,37.78465844446264,-117.63231124433098,red
9179,Nevada,Eureka County,Donald Trump,REP,895,True,32011,NV,921,909,47.3,1830,49.67213114754098,39.983861552633506,-116.26858451880449,red
9184,Nevada,Humboldt County,Donald Trump,REP,5877,True,32013,NV,8779,8125,35.6,16904,48.06554661618552,41.40684197956766,-118.11199881835869,red
9189,Nevada,Lander County,Donald Trump,REP,2198,True,32015,NV,3347,2399,37.2,5746,41.75078315349808,39.93366329075818,-117.03802593373345,red
9194,Nevada,Lincoln County,Donald Trump,REP,2067,True,32017,NV,2673,2501,45.2,5174,48.33784306146115,37.64332831003535,-114.87754031834122,red
9199,Nevada,Lyon County,Donald Trump,REP,20914,True,32019,NV,26757,26398,44.1,53155,49.662308343523655,39.02028336084263,-119.18912155353829,red
9204,Nevada,Mineral County,Donald Trump,REP,1423,True,32021,NV,2205,2243,50.1,4448,50.42715827338129,38.53876197765298,-118.43508006683241,red
9209,Nevada,Nye County,Donald Trump,REP,17528,True,32023,NV,22243,21462,52.7,43705,49.10650955268276,38.0422474054656,-116.47191346910246,red
9214,Nevada,Pershing County,Donald Trump,REP,1731,True,32027,NV,4286,2325,43.4,6611,35.168658296778105,40.44040933752209,-118.40441353626106,red
9219,Nevada,Storey County,Donald Trump,REP,1908,True,32029,NV,1963,1978,52.9,3941,50.190307028672926,39.44693227241752,-119.52934998813632,red
9224,Nevada,Washoe County,Joe Biden,DEM,128128,True,32031,NV,226751,223735,38.1,450486,49.665250418436976,40.66566754140098,-119.66426822932192,blue
9229,Nevada,White Pine County,Donald Trump,REP,3403,True,32033,NV,5704,4033,39.2,9737,41.419328335216186,39.442104310398406,-114.90154514702304,red
9234,Nevada,Carson City,Donald Trump,REP,16113,True,32510,NV,27912,26555,42.8,54467,48.75429158940276,39.15114750489134,-119.74741903538444,red
9239,New Jersey,Atlantic County,Joe Biden,DEM,73808,True,34001,NJ,130026,138513,41.5,268539,51.58021739859014,39.4777384640199,-74.66097651364294,blue
9248,New Jersey,Bergen County,Joe Biden,DEM,285967,True,34003,NJ,450784,479215,41.8,929999,51.52855003069896,40.9596224153068,-74.07423081251476,blue
9257,New Jersey,Burlington County,Joe Biden,DEM,154595,True,34005,NJ,219534,226833,41.5,446367,50.817600763497296,39.877722211380735,-74.66806253724705,blue
9266,New Jersey,Camden County,Joe Biden,DEM,175065,True,34007,NJ,245068,262299,38.7,507367,51.698080482175634,39.80350989810045,-74.95972885981364,blue
9275,New Jersey,Cape May County,Donald Trump,REP,33158,True,34009,NJ,45829,47876,49.3,93705,51.092257616989485,39.14899692972397,-74.8002005967533,red
9284,New Jersey,Cumberland County,Joe Biden,DEM,32742,True,34011,NJ,78687,74713,37.2,153400,48.70469361147328,39.37383947046901,-75.11075138928764,blue
9293,New Jersey,Essex County,Joe Biden,DEM,266820,True,34013,NJ,381576,411979,37.5,793555,51.91562021535999,40.78722695607274,-74.24704974624888,blue
9302,New Jersey,Gloucester County,Joe Biden,DEM,86702,True,34015,NJ,141229,149623,40.3,290852,51.443001939130546,39.71727923915464,-75.14141017900222,blue
9311,New Jersey,Hudson County,Joe Biden,DEM,181452,True,34017,NJ,332268,336363,35.1,668631,50.306222714770925,40.73510236218621,-74.07770569139788,blue
9320,New Jersey,Hunterdon County,Donald Trump,REP,43153,True,34019,NJ,62447,62604,46.2,125051,50.06277438804968,40.56730052881388,-74.91223437600411,red
9329,New Jersey,Mercer County,Joe Biden,DEM,122532,True,34021,NJ,180369,188393,38.7,368762,51.08796459505046,40.283433555719135,-74.70176112770625,blue
9338,New Jersey,Middlesex County,Joe Biden,DEM,226250,True,34023,NJ,407247,419451,38.4,826698,50.73811718426803,40.43915316766265,-74.41170264140763,blue
9347,New Jersey,Monmouth County,Donald Trump,REP,191808,True,34025,NJ,303154,320233,43.2,623387,51.36985532261661,40.26048276089573,-74.22097068640325,red
9356,New Jersey,Morris County,Joe Biden,DEM,153881,True,34027,NJ,242484,251899,42.6,494383,50.952196980883244,40.86199709635146,-74.54452423341131,blue
9365,New Jersey,Ocean County,Donald Trump,REP,217740,True,34029,NJ,285371,306568,42.9,591939,51.79047165332914,39.885124280652725,-74.28090727718173,red
9374,New Jersey,Passaic County,Joe Biden,DEM,129097,True,34031,NJ,245463,258578,37.0,504041,51.30098543570861,41.03444981496492,-74.3008349141255,blue
9383,New Jersey,Salem County,Donald Trump,REP,18827,True,34033,NJ,30982,32354,42.0,63336,51.08311229000884,39.58761280424981,-75.3490497754243,red
9392,New Jersey,Somerset County,Joe Biden,DEM,111173,True,34035,NJ,161296,168880,41.6,330176,51.14847838728436,40.56350042664697,-74.6163454818374,blue
9401,New Jersey,Sussex County,Donald Trump,REP,51698,True,34037,NJ,70730,71568,44.5,142298,50.294452487034256,41.139250633718476,-74.69089801939094,red
9410,New Jersey,Union County,Joe Biden,DEM,170245,True,34039,NJ,269450,283616,38.5,553066,51.28067897863908,40.66001624477928,-74.30850500177282,blue
9419,New Jersey,Warren County,Donald Trump,REP,34769,True,34041,NJ,51936,54357,44.0,106293,51.13883322514182,40.85716227662425,-74.99732738849798,red
9428,New Mexico,Bernalillo County,Joe Biden,DEM,193757,True,35001,NM,332271,345421,37.3,677692,50.97020475378196,35.051341272308875,-106.67016462788452,blue
9434,New Mexico,Catron County,Donald Trump,REP,1698,True,35003,NM,1930,1609,59.1,3539,45.464820570782706,33.915276134970675,-108.40461099849449,red
9440,New Mexico,Chaves County,Donald Trump,REP,15656,True,35005,NM,32600,32859,35.6,65459,50.19783375853588,33.36327779046805,-104.46690786770924,red
9446,New Mexico,Cibola County,Joe Biden,DEM,4745,True,35006,NM,13648,13330,36.8,26978,49.41063088442434,34.912528219867525,-107.99970396310805,blue
9452,New Mexico,Colfax County,Donald Trump,REP,3271,True,35007,NM,6309,6044,49.0,12353,48.92738606006638,36.606138694032225,-104.64684020416188,red
9458,New Mexico,Curry County,Donald Trump,REP,10444,True,35009,NM,26109,24090,31.1,50199,47.989003765015234,34.574231821726926,-103.3469954700585,red
9464,New Mexico,De Baca County,Donald Trump,REP,656,True,35011,NM,1052,1008,37.0,2060,48.932038834951456,34.34245187056054,-104.41202331344374,red
9470,New Mexico,Do�a Ana County,Joe Biden,DEM,47957,True,35013,NM,105774,109564,32.9,215338,50.88001188828725,32.35264734068167,-106.8327815018138,blue
9476,New Mexico,Eddy County,Donald Trump,REP,17454,True,35015,NM,28989,28448,35.3,57437,49.52904921914445,32.471485388307805,-104.30430758944144,red
9482,New Mexico,Grant County,Joe Biden,DEM,7590,True,35017,NM,13869,14192,45.8,28061,50.575531876982296,32.738873608382136,-108.38240247886898,blue
9488,New Mexico,Guadalupe County,Joe Biden,DEM,1234,True,35019,NM,2507,1875,42.6,4382,42.78868096759471,34.86330572264929,-104.79065638542852,blue
9494,New Mexico,Harding County,Donald Trump,REP,319,True,35021,NM,266,193,60.1,459,42.047930283224396,35.85791979250809,-103.820269791751,red
9500,New Mexico,Hidalgo County,Donald Trump,REP,1120,True,35023,NM,2149,2222,43.3,4371,50.835049187828865,31.91403805285449,-108.71477735549637,red
9506,New Mexico,Lea County,Donald Trump,REP,16531,True,35025,NM,36137,33989,31.7,70126,48.46847103784617,32.792102919118555,-103.41247259393009,red
9512,New Mexico,Lincoln County,Donald Trump,REP,6942,True,35027,NM,9228,10254,51.0,19482,52.63319987680936,33.74529938621553,-105.45929278017435,red
9518,New Mexico,Los Alamos County,Joe Biden,DEM,7554,True,35028,NM,9353,9003,42.5,18356,49.04663325343212,35.86936543064972,-106.3073688332958,blue
9524,New Mexico,Luna County,Donald Trump,REP,4408,True,35029,NM,12020,12244,37.8,24264,50.46158918562479,32.18222645768495,-107.74980809748074,red
9530,New Mexico,McKinley County,Joe Biden,DEM,18029,True,35031,NM,35158,37691,32.0,72849,51.73852763936361,35.580665101577885,-108.26179435292354,blue
9536,New Mexico,Mora County,Joe Biden,DEM,1745,True,35033,NM,2230,2333,49.2,4563,51.12864343633574,36.010398173689474,-104.94481687726959,blue
9542,New Mexico,Otero County,Donald Trump,REP,14521,True,35035,NM,33886,31859,35.6,65745,48.458437904023114,32.61319476955468,-105.74146231733677,red
9548,New Mexico,Quay County,Donald Trump,REP,2634,True,35037,NM,3881,4492,43.8,8373,53.648632509255954,35.10430372802943,-103.54975690302385,red
9554,New Mexico,Rio Arriba County,Joe Biden,DEM,10990,True,35039,NM,19250,20057,40.6,39307,51.026534713918636,36.509576661439006,-106.6931427518855,blue
9560,New Mexico,Roosevelt County,Donald Trump,REP,4634,True,35041,NM,9523,9594,29.8,19117,50.185698592875454,34.02116946655203,-103.48004909109235,red
9566,New Mexico,Sandoval County,Joe Biden,DEM,40588,True,35043,NM,68955,71814,39.9,140769,51.01549346802208,35.68857594929248,-106.86594121840264,blue
9572,New Mexico,San Juan County,Donald Trump,REP,32874,True,35045,NM,63123,64332,35.0,127455,50.47428504177945,36.508524068217724,-108.32062184002274,red
9578,New Mexico,San Miguel County,Joe Biden,DEM,7888,True,35047,NM,14108,13926,43.2,28034,49.67539416422915,35.48044091832855,-104.81583457927928,blue
9584,New Mexico,Santa Fe County,Joe Biden,DEM,62530,True,35049,NM,72344,76573,45.8,148917,51.419918478078394,35.506913180431994,-105.97626432232404,blue
9590,New Mexico,Sierra County,Donald Trump,REP,3542,True,35051,NM,5516,5619,56.0,11135,50.462505612932205,33.130495866748255,-107.19240696242152,red
9596,New Mexico,Socorro County,Joe Biden,DEM,3722,True,35053,NM,8799,8201,39.2,17000,48.24117647058824,34.00716998796775,-106.93024668132591,blue
9602,New Mexico,Taos County,Joe Biden,DEM,13121,True,35055,NM,16076,16812,48.2,32888,51.118949160788134,36.57830163553885,-105.63096154475716,blue
9608,New Mexico,Torrance County,Donald Trump,REP,4772,True,35057,NM,8358,7237,43.6,15595,46.40589932670728,34.640465084308644,-105.8508183952692,red
9614,New Mexico,Union County,Donald Trump,REP,1388,True,35059,NM,2302,1873,40.6,4175,44.862275449101794,36.48160046836011,-103.47099928606802,red
9620,New Mexico,Valencia County,Donald Trump,REP,17364,True,35061,NM,38130,37826,39.1,75956,49.79988414345147,34.715459476529176,-106.80903378468365,red
9626,New York,Albany County,Joe Biden,DEM,99474,True,36001,NY,148910,158516,37.9,307426,51.56232719418657,42.600176751602,-73.97355542101843,blue
9632,New York,Allegany County,Donald Trump,REP,14135,True,36003,NY,23755,23270,38.8,47025,49.484316852737905,42.25740172332472,-78.02758161648094,red
9638,New York,Bronx County,Joe Biden,DEM,355374,True,36005,NY,676963,760909,33.9,1437872,52.9191054558403,40.85002315803155,-73.86598287156441,blue
9644,New York,Broome County,Joe Biden,DEM,47010,True,36007,NY,95608,98794,39.8,194402,50.81943601403278,42.160249365425855,-75.81961998061949,blue
9650,New York,Cattaraugus County,Donald Trump,REP,22155,True,36009,NY,38491,39195,42.0,77686,50.453106093762074,42.24860036195381,-78.67884765289531,red
9656,New York,Cayuga County,Donald Trump,REP,19512,True,36011,NY,39982,37886,42.7,77868,48.654132634715154,42.91749800480087,-76.55450638644356,red
9662,New York,Chautauqua County,Donald Trump,REP,34853,True,36013,NY,63960,65696,42.5,129656,50.669463811933106,42.22816489748384,-79.3663426488305,red
9668,New York,Chemung County,Donald Trump,REP,21922,True,36015,NY,42556,43184,41.3,85740,50.36622346629345,42.14126252389657,-76.7600395919103,red
9674,New York,Chenango County,Donald Trump,REP,13482,True,36017,NY,24227,24121,44.7,48348,49.890378092165136,42.493504778848255,-75.61159163840196,red
9680,New York,Clinton County,Joe Biden,DEM,18364,True,36019,NY,41499,39295,39.3,80794,48.636037329504674,44.746182125459335,-73.67816577810787,blue
9686,New York,Columbia County,Joe Biden,DEM,20386,True,36021,NY,30495,30424,47.8,60919,49.941725898324,42.250081064525105,-73.63179678491522,blue
9692,New York,Cortland County,Donald Trump,REP,10789,True,36023,NY,23550,24573,36.4,48123,51.06290131537934,42.595013658231956,-76.0702786039898,red
9698,New York,Delaware County,Donald Trump,REP,13387,True,36025,NY,22943,22559,47.5,45502,49.57804052569117,42.19806703499144,-74.96646739607938,red
9704,New York,Dutchess County,Joe Biden,DEM,81443,True,36027,NY,146174,147720,42.0,293894,50.26302000040832,41.76514668817286,-73.74286000422686,blue
9710,New York,Erie County,Joe Biden,DEM,267174,True,36029,NY,444998,474868,40.4,919866,51.62360604696771,42.7639513902001,-78.7323171924518,blue
9716,New York,Essex County,Joe Biden,DEM,9947,True,36031,NY,19622,18129,47.0,37751,48.022568938571155,44.11719120629702,-73.77260404107997,blue
9722,New York,Franklin County,Donald Trump,REP,9668,True,36033,NY,27816,22876,40.6,50692,45.127436281859076,44.59286069917278,-74.30383467142154,red
9728,New York,Fulton County,Donald Trump,REP,15378,True,36035,NY,26847,26896,43.8,53743,50.04558733230375,43.113834867797365,-74.42216177849555,red
9734,New York,Genesee County,Donald Trump,REP,18876,True,36037,NY,29022,29090,43.3,58112,50.058507709251096,43.00093172032094,-78.19375273874314,red
9740,New York,Greene County,Donald Trump,REP,14271,True,36039,NY,24903,22714,45.8,47617,47.70145116239998,42.27651367106724,-74.12272098144103,red
9746,New York,Hamilton County,Donald Trump,REP,2225,True,36041,NY,2347,2228,54.0,4575,48.699453551912576,43.6611279980196,-74.49737532012566,red
9752,New York,Herkimer County,Donald Trump,REP,18870,True,36043,NY,30918,31587,44.0,62505,50.535157187425,43.41970520471288,-74.9625255361898,red
9758,New York,Jefferson County,Donald Trump,REP,25629,True,36045,NY,59931,54517,32.4,114448,47.63473367817698,44.04944181046502,-75.92097941040156,red
9764,New York,Kings County,Joe Biden,DEM,703310,True,36047,NY,1231912,1368835,35.1,2600747,52.63237831284627,40.63954067007959,-73.93852680016798,blue
9770,New York,Lewis County,Donald Trump,REP,8894,True,36049,NY,13451,13268,42.0,26719,49.65754706388712,43.78465718665335,-75.44884854633635,red
9776,New York,Livingston County,Donald Trump,REP,18182,True,36051,NY,32050,31857,40.8,63907,49.848999327147254,42.72806293663329,-77.77549402183548,red
9782,New York,Madison County,Donald Trump,REP,18408,True,36053,NY,35252,36107,41.7,71359,50.59908350733614,42.91276591124755,-75.66964862787577,red
9788,New York,Monroe County,Joe Biden,DEM,225746,True,36055,NY,359374,384874,38.9,744248,51.71313863120896,43.146446382660024,-77.69608946615071,blue
9794,New York,Montgomery County,Donald Trump,REP,12745,True,36057,NY,24265,25161,41.4,49426,50.9064055355481,42.902291807254855,-74.43971570007935,red
9800,New York,Nassau County,Joe Biden,DEM,396504,True,36059,NY,659405,697159,41.6,1356564,51.39153036642576,40.7328031634004,-73.58640399624984,blue
9806,New York,New York County,Joe Biden,DEM,603040,True,36061,NY,772144,860336,37.3,1632480,52.7011663236303,40.778176232908585,-73.96749199548735,blue
9812,New York,Niagara County,Donald Trump,REP,56068,True,36063,NY,103127,108577,43.2,211704,51.28717454559197,43.20006122999729,-78.74524868960145,red
9818,New York,Oneida County,Donald Trump,REP,57180,True,36065,NY,115089,115693,41.2,230782,50.13085942577844,43.241735857088614,-75.43585109063814,red
9824,New York,Onondaga County,Joe Biden,DEM,138894,True,36067,NY,223995,240247,39.0,464242,51.75038018964248,43.00581355619789,-76.19463474743596,blue
9830,New York,Ontario County,Donald Trump,REP,29039,True,36069,NY,53704,55768,43.5,109472,50.94270681087402,42.85284829036138,-77.29982004123828,red
9836,New York,Orange County,Donald Trump,REP,84996,True,36071,NY,189484,188743,36.9,378227,49.90204295304142,41.402136704147395,-74.30554480409867,red
9842,New York,Orleans County,Donald Trump,REP,12126,True,36073,NY,20539,20636,43.2,41175,50.11778992106861,43.25207730983017,-78.2312130736263,red
9848,New York,Oswego County,Donald Trump,REP,32138,True,36075,NY,59648,59456,40.0,119104,49.91939817302524,43.42692163316699,-76.14136171810435,red
9854,New York,Otsego County,Donald Trump,REP,14382,True,36077,NY,29127,31117,42.0,60244,51.65161675851539,42.63374626286346,-75.03259882731551,red
9860,New York,Putnam County,Donald Trump,REP,29283,True,36079,NY,49296,49774,44.1,99070,50.241243565155955,41.42666293531684,-73.74947837022866,red
9866,New York,Queens County,Joe Biden,DEM,569038,True,36081,NY,1114654,1183859,38.7,2298513,51.50542981484117,40.70228385764882,-73.82027034183182,blue
9872,New York,Rensselaer County,Joe Biden,DEM,40969,True,36083,NY,78611,80820,39.9,159431,50.69277618530901,42.711078530813616,-73.50971810323966,blue
9878,New York,Richmond County,Donald Trump,REP,123320,True,36085,NY,229424,244677,40.0,474101,51.60862347896336,40.58077351285673,-74.15238558427171,red
9884,New York,Rockland County,Joe Biden,DEM,75802,True,36087,NY,158667,165019,36.1,323686,50.98119782752421,41.15237652277932,-74.0240618425228,blue
9890,New York,St. Lawrence County,Donald Trump,REP,24608,True,36089,NY,55780,53778,38.9,109558,49.08632870260503,44.49639515228461,-75.06908179337911,red
9896,New York,Saratoga County,Joe Biden,DEM,68471,True,36091,NY,112468,114909,42.6,227377,50.53677372821349,43.107379619726174,-73.86389771925573,blue
9902,New York,Schenectady County,Joe Biden,DEM,42465,True,36093,NY,75453,79430,39.9,154883,51.28387234234874,42.81812730759885,-74.05857151837759,blue
9908,New York,Schoharie County,Donald Trump,REP,9903,True,36095,NY,15620,15744,45.1,31364,50.19767886749139,42.58821665768087,-74.44211424005411,red
9914,New York,Schuyler County,Donald Trump,REP,5621,True,36097,NY,8979,9013,46.2,17992,50.09448643841707,42.39380391052364,-76.87517162586481,red
9920,New York,Seneca County,Donald Trump,REP,8329,True,36099,NY,18096,16516,42.2,34612,47.71755460533918,42.78105352965756,-76.8237825889805,red
9926,New York,Steuben County,Donald Trump,REP,29474,True,36101,NY,48397,48530,42.6,96927,50.06860833410711,42.26780886058141,-77.3837932352066,red
9932,New York,Suffolk County,Donald Trump,REP,381253,True,36103,NY,732269,755632,41.3,1487901,50.785099277438476,40.86860995612374,-72.8448119688074,red
9938,New York,Sullivan County,Donald Trump,REP,18665,True,36105,NY,38595,36616,42.9,75211,48.68436797808831,41.71643581499744,-74.76811363148798,red
9944,New York,Tioga County,Donald Trump,REP,14791,True,36107,NY,24264,24781,44.0,49045,50.52706697930472,42.17033554575083,-76.30634884952822,red
9950,New York,Tompkins County,Joe Biden,DEM,33619,True,36109,NY,50823,52139,30.9,102962,50.63907072512189,42.45202685533814,-76.47363747697769,blue
9956,New York,Ulster County,Joe Biden,DEM,57970,True,36111,NY,88774,90529,43.7,179303,50.48939504637403,41.888138805790845,-74.25854439664687,blue
9962,New York,Warren County,Donald Trump,REP,17699,True,36113,NY,31698,32782,46.4,64480,50.840570719602965,43.560966686464894,-73.8460167641418,red
9968,New York,Washington County,Donald Trump,REP,15941,True,36115,NY,32002,29826,44.0,61828,48.24027948502297,43.31371304888923,-73.43075213952623,red
9974,New York,Wayne County,Donald Trump,REP,26204,True,36117,NY,44971,45885,43.6,90856,50.502993748349034,43.15663707675523,-77.02937262436087,red
9980,New York,Westchester County,Joe Biden,DEM,312371,True,36119,NY,468898,499917,40.8,968815,51.60087323173155,41.16231784141541,-73.7560605789494,blue
9986,New York,Wyoming County,Donald Trump,REP,13898,True,36121,NY,21734,18831,41.9,40565,46.42179218538149,42.702369271674534,-78.22445826963597,red
9992,New York,Yates County,Donald Trump,REP,6208,True,36123,NY,11999,13010,41.3,25009,52.0212723419569,42.63344943138025,-77.10546795181085,red
9998,North Carolina,Alamance County,Donald Trump,REP,46056,True,37001,NC,76259,84317,39.5,160576,52.50909226783579,36.04373147445875,-79.3994402339366,red
10004,North Carolina,Alexander County,Donald Trump,REP,15888,True,37003,NC,18942,18177,43.4,37119,48.96953042916026,35.921028192122066,-81.17701966635214,red
10010,North Carolina,Alleghany County,Donald Trump,REP,4527,True,37005,NC,5386,5587,49.5,10973,50.91588444363438,36.491293653884796,-81.12790929673821,red
10016,North Carolina,Anson County,Joe Biden,DEM,5789,True,37007,NC,13285,12021,40.5,25306,47.50256856081562,34.97381293623332,-80.10269179688173,blue
10022,North Carolina,Ashe County,Donald Trump,REP,11451,True,37009,NC,13168,13618,47.7,26786,50.83999104009557,36.434476734580564,-81.50050206898709,red
10028,North Carolina,Avery County,Donald Trump,REP,7172,True,37011,NC,9488,8013,44.4,17501,45.785955088280666,36.076542087903256,-81.92258339217938,red
10034,North Carolina,Beaufort County,Donald Trump,REP,16437,True,37013,NC,22709,24534,45.7,47243,51.93150307982136,35.49400182204088,-76.85978138890118,red
10040,North Carolina,Bertie County,Joe Biden,DEM,5939,True,37015,NC,9895,9749,45.2,19644,49.62838525758501,36.066167269049046,-76.9786680059143,blue
10046,North Carolina,Bladen County,Donald Trump,REP,9676,True,37017,NC,16054,17724,43.6,33778,52.47202321037362,34.61458694167448,-78.56363614838921,red
10052,North Carolina,Brunswick County,Donald Trump,REP,55850,True,37019,NC,61281,65579,52.8,126860,51.69399337852753,34.07098550405869,-78.23769498309461,red
10058,North Carolina,Buncombe County,Joe Biden,DEM,96515,True,37021,NC,122297,132177,42.1,254474,51.94125922491099,35.61118328541392,-82.53011352598972,blue
10064,North Carolina,Burke County,Donald Trump,REP,31019,True,37023,NC,44798,44914,43.6,89712,50.06465132869627,35.749611616924355,-81.70477517320452,red
10070,North Carolina,Cabarrus County,Donald Trump,REP,63237,True,37025,NC,98094,103354,37.9,201448,51.30554783368413,35.38678658670812,-80.55186546381165,red
10076,North Carolina,Caldwell County,Donald Trump,REP,32119,True,37027,NC,40354,41425,44.1,81779,50.654813582949174,35.953028544492184,-81.54640572406208,red
10082,North Carolina,Camden County,Donald Trump,REP,4312,True,37029,NC,5263,5184,40.7,10447,49.62190102421747,36.38770416859575,-76.20636217072877,red
10088,North Carolina,Carteret County,Donald Trump,REP,30028,True,37031,NC,33839,35081,47.9,68920,50.90104468949506,34.83573000222429,-76.65889147213693,red
10094,North Carolina,Caswell County,Donald Trump,REP,7089,True,37033,NC,11393,11353,45.6,22746,49.9120724522993,36.393172437128,-79.33353354686405,red
10100,North Carolina,Catawba County,Donald Trump,REP,56588,True,37035,NC,76703,80026,41.4,156729,51.06011012639652,35.66204222987132,-81.21507007166126,red
10106,North Carolina,Chatham County,Joe Biden,DEM,26787,True,37037,NC,33477,36314,46.7,69791,52.032497026837284,35.702573792276176,-79.25528760750436,blue
10112,North Carolina,Cherokee County,Donald Trump,REP,12628,True,37039,NC,13583,14085,50.9,27668,50.907185195894186,35.133872998728535,-84.06347829162289,red
10118,North Carolina,Chowan County,Donald Trump,REP,4471,True,37041,NC,6653,7552,44.7,14205,53.16437873988033,36.15083674751779,-76.60789635960936,red
10124,North Carolina,Clay County,Donald Trump,REP,5112,True,37043,NC,5125,5688,52.0,10813,52.60334782206603,35.057217686430604,-83.75017335105488,red
10130,North Carolina,Cleveland County,Donald Trump,REP,33798,True,37045,NC,46856,50303,41.9,97159,51.773896396628196,35.334084798952325,-81.55554656739818,red
10136,North Carolina,Columbus County,Donald Trump,REP,16832,True,37047,NC,27981,28312,42.0,56293,50.293997477483884,34.26564889136196,-78.65502149674978,red
10142,North Carolina,Craven County,Donald Trump,REP,31032,True,37049,NC,52246,50836,36.6,103082,49.31607846180711,35.12485682346284,-77.0938940483158,red
10148,North Carolina,Cumberland County,Joe Biden,DEM,84469,True,37051,NC,165152,166954,31.2,332106,50.27129892263314,35.0486192486761,-78.82755662753068,blue
10154,North Carolina,Currituck County,Donald Trump,REP,11657,True,37053,NC,12822,12974,42.9,25796,50.29461932082493,36.40307992357328,-76.00594023553701,red
10160,North Carolina,Dare County,Donald Trump,REP,13938,True,37055,NC,17614,18127,46.1,35741,50.71766318793542,35.77953728578646,-75.79799395035846,red
10166,North Carolina,Davidson County,Donald Trump,REP,64658,True,37057,NC,80508,84156,42.3,164664,51.10771024631978,35.79335503643409,-80.21274505395449,red
10172,North Carolina,Davie County,Donald Trump,REP,18228,True,37059,NC,20374,21617,45.0,41991,51.480079064561465,35.929111334312886,-80.5444733956481,red
10178,North Carolina,Duplin County,Donald Trump,REP,13793,True,37061,NC,28780,30282,40.6,59062,51.27154515593782,34.93653802042304,-77.93300726449525,red
10184,North Carolina,Durham County,Joe Biden,DEM,144688,True,37063,NC,146535,159922,35.2,306457,52.184156341672725,36.03601682076322,-78.87662142973515,blue
10190,North Carolina,Edgecombe County,Joe Biden,DEM,16089,True,37065,NC,24856,28476,41.0,53332,53.393834845871154,35.91288115251308,-77.59706062049979,blue
10196,North Carolina,Forsyth County,Joe Biden,DEM,113033,True,37067,NC,176337,195236,38.3,371573,52.54310727636293,36.13062135156725,-80.25629771983719,blue
10202,North Carolina,Franklin County,Donald Trump,REP,20901,True,37069,NC,32281,32621,41.3,64902,50.2619333764753,36.082755017600455,-78.28570287592457,red
10208,North Carolina,Gaston County,Donald Trump,REP,73033,True,37071,NC,104371,112214,40.1,216585,51.81060553593277,35.29435358631589,-81.1802842880723,red
10214,North Carolina,Gates County,Donald Trump,REP,3367,True,37073,NC,5627,5936,45.7,11563,51.33615843639193,36.444906821223796,-76.70046729588364,red
10220,North Carolina,Graham County,Donald Trump,REP,3710,True,37075,NC,4210,4347,46.0,8557,50.800514198901475,35.350167472177745,-83.83348116242198,red
